p1,p2,p3,p4,p5,p6,Richness
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,1,0,0,0,1
0,0,0,1,0,0,1
0,0,0,0,1,0,1
0,0,0,0,0,1,1
0.5,0.5,0,0,0,0,2
0,0,0.5,0.5,0,0,2
0,0,0,0,0.5,0.5,2
0.5,0,0.5,0,0,0,2
0.5,0,0,0.5,0,0,2
0.5,0,0,0,0.5,0,2
0.5,0,0,0,0,0.5,2
0,0.5,0.5,0,0,0,2
0,0.5,0,0.5,0,0,2
0,0.5,0,0,0.5,0,2
0,0.5,0,0,0,0.5,2
0,0,0.5,0,0.5,0,2
0,0,0.5,0,0,0.5,2
0,0,0,0.5,0.5,0,2
0,0,0,0.5,0,0.5,2
0.333333333,0,0.333333333,0,0.333333333,0,3
0.333333333,0,0.333333333,0,0,0.333333333,3
0.333333333,0,0,0.333333333,0.333333333,0,3
0.333333333,0,0,0.333333333,0,0.333333333,3
0,0.333333333,0.333333333,0,0.333333333,0,3
0,0.333333333,0.333333333,0,0,0.333333333,3
0,0.333333333,0,0.333333333,0.333333333,0,3
0,0.333333333,0,0.333333333,0,0.333333333,3
0.25,0.25,0.25,0.25,0,0,4
0.25,0.25,0,0,0.25,0.25,4
0,0,0.25,0.25,0.25,0.25,4
0.6,0,0.1,0.1,0.1,0.1,5
0,0.6,0.1,0.1,0.1,0.1,5
0.1,0.1,0.6,0,0.1,0.1,5
0.1,0.1,0,0.6,0.1,0.1,5
0.1,0.1,0.1,0.1,0.6,0,5
0.1,0.1,0.1,0.1,0,0.6,5
0.16,0.16,0.17,0.17,0.17,0.17,6
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,1,0,0,0,1
0,0,0,1,0,0,1
0,0,0,0,1,0,1
0,0,0,0,0,1,1
0.5,0.5,0,0,0,0,2
0,0,0.5,0.5,0,0,2
0,0,0,0,0.5,0.5,2
0.5,0,0.5,0,0,0,2
0.5,0,0,0.5,0,0,2
0.5,0,0,0,0.5,0,2
0.5,0,0,0,0,0.5,2
0,0.5,0.5,0,0,0,2
0,0.5,0,0.5,0,0,2
0,0.5,0,0,0.5,0,2
0,0.5,0,0,0,0.5,2
0,0,0.5,0,0.5,0,2
0,0,0.5,0,0,0.5,2
0,0,0,0.5,0.5,0,2
0,0,0,0.5,0,0.5,2
0.333333333,0,0.333333333,0,0.333333333,0,3
0.333333333,0,0.333333333,0,0,0.333333333,3
0.333333333,0,0,0.333333333,0.333333333,0,3
0.333333333,0,0,0.333333333,0,0.333333333,3
0,0.333333333,0.333333333,0,0.333333333,0,3
0,0.333333333,0.333333333,0,0,0.333333333,3
0,0.333333333,0,0.333333333,0.333333333,0,3
0,0.333333333,0,0.333333333,0,0.333333333,3
0.25,0.25,0.25,0.25,0,0,4
0.25,0.25,0,0,0.25,0.25,4
0,0,0.25,0.25,0.25,0.25,4
0.6,0,0.1,0.1,0.1,0.1,5
0,0.6,0.1,0.1,0.1,0.1,5
0.1,0.1,0.6,0,0.1,0.1,5
0.1,0.1,0,0.6,0.1,0.1,5
0.1,0.1,0.1,0.1,0.6,0,5
0.1,0.1,0.1,0.1,0,0.6,5
0.16,0.16,0.17,0.17,0.17,0.17,6
1,0,0,0,0,0,1
0,1,0,0,0,0,1
0,0,1,0,0,0,1
0,0,0,1,0,0,1
0,0,0,0,1,0,1
0,0,0,0,0,1,1
0.5,0.5,0,0,0,0,2
0,0,0.5,0.5,0,0,2
0,0,0,0,0.5,0.5,2
0.5,0,0.5,0,0,0,2
0.5,0,0,0.5,0,0,2
0.5,0,0,0,0.5,0,2
0.5,0,0,0,0,0.5,2
0,0.5,0.5,0,0,0,2
0,0.5,0,0.5,0,0,2
0,0.5,0,0,0.5,0,2
0,0.5,0,0,0,0.5,2
0,0,0.5,0,0.5,0,2
0,0,0.5,0,0,0.5,2
0,0,0,0.5,0.5,0,2
0,0,0,0.5,0,0.5,2
0.333333333,0,0.333333333,0,0.333333333,0,3
0.333333333,0,0.333333333,0,0,0.333333333,3
0.333333333,0,0,0.333333333,0.333333333,0,3
0.333333333,0,0,0.333333333,0,0.333333333,3
0,0.333333333,0.333333333,0,0.333333333,0,3
0,0.333333333,0.333333333,0,0,0.333333333,3
0,0.333333333,0,0.333333333,0.333333333,0,3
0,0.333333333,0,0.333333333,0,0.333333333,3
0.25,0.25,0.25,0.25,0,0,4
0.25,0.25,0,0,0.25,0.25,4
0,0,0.25,0.25,0.25,0.25,4
0.6,0,0.1,0.1,0.1,0.1,5
0,0.6,0.1,0.1,0.1,0.1,5
0.1,0.1,0.6,0,0.1,0.1,5
0.1,0.1,0,0.6,0.1,0.1,5
0.1,0.1,0.1,0.1,0.6,0,5
0.1,0.1,0.1,0.1,0,0.6,5
0.16,0.16,0.17,0.17,0.17,0.17,6
